feature,abs_coef
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,0.16865669637644842
submand__sym__absratio__ct__original_glcm_ClusterShade,0.02615693042689208
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceEntropy,0.27211908585895217
parotid__sym__max__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.2743970514558825
submand_L__ct__wavelet-HLL_glrlm_ShortRunEmphasis,0.05572142803661582
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.04369474347727119
submand__sym__absdiff__ct__wavelet-LHL_firstorder_Skewness,0.22102367615569352
parotid__sym__min__ct__wavelet-HHH_glszm_GrayLevelNonUniformity,0.15814488974432733
submand_L__ct__wavelet-HHH_glcm_ClusterShade,0.04566257133638196
submand_L__ct__wavelet-HHH_glcm_JointAverage,0.05175347904548471
submand_L__ct__wavelet-HHH_glcm_SumAverage,0.13997659791925152
submand_L__ct__wavelet-HHH_glcm_Autocorrelation,0.10349826468454354
submand__sym__absdiff__ct__wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.1931138170815393
parotid_L__ct__wavelet-HHH_glszm_GrayLevelNonUniformity,0.08948562552980766
parotid__sym__min__ct__wavelet-LHH_firstorder_Median,0.2780661370778712
submand_R__ct__wavelet-HLL_firstorder_Maximum,0.06607053180742722
submand__sym__max__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.058497753001267534
submand_R__ct__wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.08908482022685617
parotid__sym__absdiff__ct__wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.08421679007064405
parotid__sym__max__ct__wavelet-LLH_glcm_Id,0.029059453828165254
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.1308751934804412
parotid__sym__absdiff__ct__wavelet-HHH_firstorder_Minimum,0.31088297790508707
parotid__sym__max__ct__wavelet-LLH_glcm_InverseVariance,0.0049670027566075525
parotid__sym__diff__ct__original_glrlm_GrayLevelNonUniformityNormalized,0.08067577767497924
submand__sym__absratio__ct__original_firstorder_Skewness,0.11025177033015025
parotid__sym__mean__ct__wavelet-LLH_glcm_InverseVariance,0.4919615091603119
submand_L__ct__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.2164399895332312
submand__sym__absdiff__ct__wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.06262297259558154
submand__sym__absdiff__ct__wavelet-LHL_glszm_ZoneVariance,0.08403464560066481
submand__sym__mean__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.08183173672416473
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Entropy,0.20730172084938764
parotid_L__ct__original_shape_Maximum2DDiameterRow,0.030587669148832344
parotid__sym__min__ct__wavelet-LHL_glcm_Correlation,0.2822817707955821
submand__sym__max__ct__wavelet-HLH_firstorder_Median,0.09664582465797372
submand__sym__absdiff__ct__wavelet-LHL_gldm_DependenceEntropy,0.16067331788641795
submand__sym__absdiff__ct__wavelet-LHL_glszm_LargeAreaEmphasis,0.013735525189451658
submand_R__ct__original_glszm_ZonePercentage,0.4472783533350658
