feature,abs_coef
parotid__sym__min__ct__wavelet-LHH_firstorder_Median,0.20421638277857174
parotid_R__ct__wavelet-HLL_firstorder_Median,0.22187626711105674
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.46666498792673505
submand__sym__absdiff__ct__wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.300678745268331
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.3886186085654694
submand__sym__absdiff__ct__wavelet-LHL_glszm_ZoneVariance,0.06637915356472303
submand__sym__absdiff__ct__wavelet-HLH_glcm_Imc1,0.1704104189135678
parotid__sym__absratio__ct__original_firstorder_90Percentile,0.09689772013909832
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,0.37293423208961357
parotid_R__ct__wavelet-LLH_glcm_InverseVariance,0.11825121715494162
submand__sym__absratio__ct__original_glcm_ClusterShade,0.1898698883175078
parotid_R__ct__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.20869773110273052
submand__sym__absdiff__ct__wavelet-LLL_gldm_LowGrayLevelEmphasis,0.05390553830958416
submand_R__ct__wavelet-HLH_glszm_ZoneEntropy,0.10667569393860894
submand__sym__absratio__ct__original_firstorder_Skewness,0.11936002236158755
parotid__sym__min__ct__wavelet-LHL_glcm_Correlation,0.09778087520203534
parotid__sym__min__ct__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.14682127427042607
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Range,0.46322516106920053
parotid__sym__min__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.04023848363272065
parotid__sym__min__ct__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.0802082552386616
submand__sym__max__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.008322328807976745
parotid__sym__absdiff__ct__wavelet-LHH_firstorder_Median,0.09705165444887631
submand_L__ct__original_firstorder_Skewness,0.20616313753680007
submand__sym__absdiff__ct__wavelet-HHH_firstorder_Range,0.31351858008634353
submand__sym__absdiff__ct__wavelet-LHL_gldm_DependenceEntropy,0.11070507092168026
parotid__sym__absdiff__ct__wavelet-LHL_glszm_GrayLevelNonUniformity,0.17863830749640836
parotid__sym__absdiff__ct__wavelet-HHH_glcm_Imc2,0.06044800088597124
parotid_L__ct__wavelet-HHL_glcm_MCC,0.0005424697694118644
submand__sym__absdiff__ct__wavelet-LLL_ngtdm_Coarseness,0.12316155046241167
parotid__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.16608089011633148
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.19455308482742575
submand_L__ct__wavelet-HHH_firstorder_Median,0.17721863643823263
submand_L__ct__wavelet-HHH_firstorder_Minimum,0.27494887130144186
submand__sym__max__ct__wavelet-LHH_firstorder_Skewness,0.23244334465882285
parotid__sym__absdiff__ct__wavelet-HHH_glcm_JointAverage,0.05611412997472675
parotid__sym__absdiff__ct__wavelet-HHH_glcm_SumAverage,0.040396428355671615
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_gldm_GrayLevelNonUniformity,0.2277987680990051
submand_R__ct__log-sigma-5-0-mm-3D_glszm_ZoneEntropy,0.00861790382133553
parotid_L__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.11932012306116153
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.007698734398261208
submand__sym__absdiff__ct__original_shape_MajorAxisLength,0.3837065824566864
parotid_L__ct__wavelet-HHH_firstorder_Variance,0.06815673212443635
submand__sym__max__ct__wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.22023546602024843
parotid__sym__max__ct__wavelet-HLH_glrlm_LongRunEmphasis,0.015038215526157224
parotid__sym__min__ct__wavelet-HLL_ngtdm_Contrast,0.0044191044946596415
parotid__sym__min__ct__wavelet-LLH_glrlm_RunVariance,0.03685483858628099
parotid_R__ct__wavelet-HLH_glrlm_LongRunEmphasis,0.08466978359608293
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.1370037175854062
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.05118889181606383
parotid_R__ct__wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.051585291919274384
submand_R__ct__wavelet-LHH_glcm_ClusterTendency,0.12057563837021167
parotid_L__ct__wavelet-HLH_glszm_LargeAreaEmphasis,0.1785105147205132
submand_L__ct__wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.07963687457682322
submand__sym__max__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.08383548667795399
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.0995297635305533
parotid__sym__mean__ct__wavelet-LLH_glcm_InverseVariance,0.2076523048071143
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceEntropy,0.19821305800997804
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,0.2675332481647858
submand_R__ct__wavelet-LHH_glcm_InverseVariance,0.1257798469860095
submand__sym__max__ct__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.1481297391815877
parotid_L__ct__wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.026228177713898147
submand__sym__reldiff__ct__original_glcm_ClusterShade,0.03390153326951579
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0709171973602077
submand__sym__reldiff__ct__original_shape_Maximum2DDiameterSlice,0.13004925983341903
parotid_R__ct__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.18230843267006394
submand_R__ct__wavelet-LHH_glcm_Correlation,0.014344857480406082
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,0.19022844239548917
submand__sym__mean__ct__original_glcm_Idn,0.19283532909016773
parotid__sym__min__ct__wavelet-LLH_firstorder_Kurtosis,0.03439971174039531
parotid__sym__absdiff__ct__wavelet-HHL_firstorder_Skewness,0.29338384516686383
submand__sym__min__ct__wavelet-LLH_glcm_Imc2,0.18280745873951681
parotid__sym__absdiff__ct__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.03701933219611044
submand_R__ct__wavelet-LHH_glcm_Id,0.06856564728957013
parotid__sym__max__ct__wavelet-LLL_gldm_DependenceVariance,0.2340506617795427
parotid_L__ct__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.0033873762996263525
submand_R__ct__wavelet-LHH_glcm_Idm,0.025278123860534393
parotid__sym__max__ct__log-sigma-5-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.04285536473121949
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.21602276491501574
submand_L__ct__wavelet-LHH_glcm_SumEntropy,0.1664795341318772
parotid__sym__absdiff__ct__log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.2374882445004562
submand__sym__max__ct__wavelet-HLL_glcm_MaximumProbability,0.03809913630088303
parotid__sym__absdiff__ct__wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.025451993689430064
