feature,abs_coef
submand__sym__max__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.39113583257655826
submand__sym__absdiff__dose__wavelet-LLL_firstorder_Maximum,0.1761968509927586
parotid__sym__absdiff__dose__wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.024882474826925443
submand__sym__min__dose__wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.42621459803020234
parotid__sym__absdiff__dose__wavelet-LHL_firstorder_Kurtosis,0.15205279372905633
submand_L__dose__log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0035556251300135964
submand__sym__absdiff__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.0326818840719334
submand_R__dose__wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.14511574259502252
submand__sym__absdiff__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,0.16449381612945194
submand_R__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.400806467761389
submand_R__dose__wavelet-LLL_glcm_MCC,0.2822849686595058
submand__sym__absratio__dose__original_firstorder_Median,0.2817984236538884
parotid_R__dose__wavelet-LLL_firstorder_Range,0.20044487912907025
submand__sym__absdiff__dose__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.1613061003726926
parotid__sym__absdiff__dose__wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.3727296072599352
submand__sym__min__dose__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.1376691940280927
submand__sym__absdiff__dose__wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.23793689669419307
parotid__sym__reldiff__dose__original_glcm_JointEntropy,0.24747770843742434
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_MCC,0.36260145487337314
parotid__sym__absdiff__dose__wavelet-LLL_glcm_Correlation,0.3003799754942168
submand_L__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.1555946865147548
submand_L__dose__wavelet-HHH_glszm_GrayLevelVariance,0.11725912172411695
