penalty,l1_ratio,C,mean_auc,std_auc,se_auc
l1,1.0,0.01,0.5,0.0,0.0
l1,1.0,0.03,0.5,0.0,0.0
l1,1.0,0.1,0.5609742587161943,0.08268589096954534,0.036978254597607875
l1,1.0,0.3,0.6491472326956198,0.07021842172844561,0.031402632851510535
l1,1.0,1.0,0.6573942186845413,0.07456069261663406,0.033344555428052085
l1,1.0,3.0,0.6613904017129825,0.07512095330480487,0.03359511162482623
l1,1.0,10.0,0.6612558767397477,0.08028248152138096,0.03590341721683571
