feature,abs_coef
submand_L__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.010426932073999237
submand_L__dose__wavelet-HHH_glszm_GrayLevelVariance,0.2076809636636631
submand__sym__max__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.10025565682435586
submand__sym__reldiff__dose__original_shape_Maximum2DDiameterSlice,0.3802335486598224
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_MCC,0.1465945511504926
submand_R__dose__original_firstorder_Maximum,0.23854663849482602
submand_R__dose__wavelet-LHL_firstorder_Skewness,0.18732851148810845
parotid__sym__absdiff__dose__wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.24492558258840966
parotid__sym__absdiff__dose__wavelet-HLL_glcm_MaximumProbability,0.013292374453041525
parotid__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaEmphasis,0.2690720739852059
parotid__sym__reldiff__dose__original_glcm_JointEntropy,0.18252707828438977
submand__sym__absdiff__dose__wavelet-LLL_gldm_DependenceNonUniformity,0.1042737715278521
submand__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.12454116709114428
parotid__sym__max__dose__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.10782970350915111
submand__sym__absdiff__dose__log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.20991557836363073
submand__sym__max__dose__wavelet-HHH_glszm_ZoneVariance,0.044122083030209605
submand__sym__min__dose__wavelet-LHL_firstorder_Maximum,0.37733031901136604
submand__sym__absdiff__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.08677870651719824
parotid_L__dose__original_firstorder_Kurtosis,0.03260249066844858
parotid_L__dose__wavelet-LLL_firstorder_Kurtosis,0.07157656612102445
parotid_R__dose__wavelet-HHH_gldm_SmallDependenceEmphasis,0.037989922202313724
parotid__sym__max__dose__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.24823917806928
submand__sym__absdiff__dose__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.06981785331149953
parotid__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.05740752225308849
submand__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaEmphasis,0.0683905799577892
submand_L__dose__wavelet-HHH_glszm_ZoneVariance,0.06866817980254222
submand__sym__max__dose__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.12214504139540018
submand_R__dose__wavelet-HHH_glszm_ZonePercentage,0.34867976629417874
parotid__sym__reldiff__dose__original_gldm_LargeDependenceLowGrayLevelEmphasis,0.07701129920304342
parotid__sym__min__dose__wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.14333208967838235
parotid__sym__absdiff__dose__original_gldm_LargeDependenceLowGrayLevelEmphasis,0.059530073179020315
parotid__sym__absdiff__dose__original_glcm_MCC,0.05836251038441978
parotid__sym__reldiff__dose__original_glcm_MCC,0.08382740986418251
parotid__sym__absdiff__dose__wavelet-HHL_firstorder_Mean,0.26838358789985683
submand_R__dose__wavelet-HLL_glszm_SmallAreaEmphasis,0.45829842722855896
submand_R__dose__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.08154683521358524
parotid_R__dose__wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.20679846832913598
parotid_L__dose__wavelet-HHL_glcm_MaximumProbability,0.12288922947724477
parotid_L__dose__wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.05077642739096867
parotid__sym__absdiff__dose__wavelet-HHL_glcm_ClusterTendency,0.231191799074806
parotid__sym__absdiff__dose__wavelet-LHH_glcm_SumEntropy,0.303717978157135
submand__sym__max__dose__original_glrlm_RunLengthNonUniformity,0.11906855134690814
parotid__sym__max__dose__wavelet-HHL_glcm_MaximumProbability,0.30334884823800545
submand__sym__absdiff__dose__wavelet-HHL_glszm_SmallAreaEmphasis,0.20365651191026732
submand__sym__absdiff__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.04203049678235254
submand__sym__min__dose__original_glszm_SmallAreaHighGrayLevelEmphasis,0.5996136875865259
parotid__sym__max__dose__wavelet-LLL_glszm_GrayLevelNonUniformity,0.0017419216462850838
parotid__sym__max__dose__wavelet-HHL_firstorder_Mean,0.12338202987069401
parotid__sym__absdiff__dose__wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.10220640049583771
parotid_R__dose__log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.022105994569301977
parotid__sym__reldiff__dose__original_glcm_Id,0.05679787804754951
parotid__sym__absdiff__dose__original_gldm_DependenceNonUniformity,0.10764415664034886
parotid__sym__absratio__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,0.017395380295025745
parotid_L__dose__original_gldm_LargeDependenceHighGrayLevelEmphasis,0.19667883556290314
parotid_R__dose__wavelet-LHH_glcm_SumSquares,0.011502011045597064
parotid__sym__absdiff__dose__wavelet-LLH_glszm_GrayLevelVariance,0.0473117813492893
submand__sym__absratio__dose__original_firstorder_Median,0.03159079471152646
submand__sym__absdiff__dose__wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.12160450230594294
submand__sym__absdiff__dose__wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.09374960776484609
submand__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Imc1,0.21977501925068682
parotid__sym__max__dose__wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.26539369710724425
parotid_L__dose__wavelet-LHL_glrlm_GrayLevelNonUniformity,0.034174214530472306
parotid__sym__max__dose__wavelet-HHL_gldm_DependenceNonUniformity,0.2515009967078151
submand__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.03133461707132794
submand__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.41600134539843564
parotid__sym__absdiff__dose__wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.48534669618310317
parotid__sym__max__dose__wavelet-LLH_gldm_DependenceVariance,0.055845065387042994
submand__sym__max__dose__wavelet-HLL_glcm_Imc1,0.0989733428880931
parotid__sym__mean__dose__wavelet-HHH_gldm_SmallDependenceEmphasis,0.1769623578065672
submand__sym__mean__dose__original_glszm_SmallAreaHighGrayLevelEmphasis,0.009641513543704048
parotid__sym__absdiff__dose__original_firstorder_Energy,0.02859098874842325
parotid__sym__absdiff__dose__original_firstorder_TotalEnergy,0.02940686636074726
submand__sym__absdiff__dose__original_gldm_DependenceNonUniformityNormalized,0.19543399215943985
parotid__sym__absdiff__dose__wavelet-HHL_glcm_Imc1,0.21525924741550584
parotid__sym__absdiff__dose__wavelet-LLL_firstorder_Energy,0.02045234294975611
parotid__sym__absdiff__dose__wavelet-LLL_firstorder_TotalEnergy,0.023932069146556656
submand_L__dose__wavelet-HHL_glszm_SmallAreaEmphasis,0.1257691472097189
submand__sym__absdiff__dose__wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.00619030365072103
parotid__sym__max__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.18527363040159497
submand_R__dose__original_glrlm_ShortRunHighGrayLevelEmphasis,0.028992001993103703
parotid__sym__absratio__dose__original_shape_MinorAxisLength,0.09166637113086357
parotid_L__dose__wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.13299630734339166
submand__sym__absdiff__dose__wavelet-HHH_glcm_Imc2,0.28396624587454117
parotid__sym__min__dose__wavelet-LLL_glcm_Correlation,0.01655408087812238
submand_R__dose__wavelet-LLH_firstorder_Mean,0.29475028969056577
parotid__sym__max__dose__wavelet-LLH_gldm_DependenceEntropy,0.08856031973876921
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Imc2,0.08084715242638152
parotid__sym__absdiff__dose__wavelet-HLL_glrlm_LongRunEmphasis,0.1561293052127115
parotid__sym__mean__dose__original_firstorder_Range,0.11170040012204269
submand__sym__absdiff__dose__wavelet-LLL_glcm_MaximumProbability,0.15010947560719817
