penalty,l1_ratio,C,mean_auc,std_auc,se_auc
l1,1.0,0.01,0.5,0.0,0.0
l1,1.0,0.03,0.5,0.0,0.0
l1,1.0,0.1,0.5790872434017595,0.07485532238650301,0.0334763178667765
l1,1.0,0.3,0.6858870967741935,0.078621170713499,0.03516045643719988
l1,1.0,1.0,0.6947122434017595,0.07757862170099197,0.03469421434483168
l1,1.0,3.0,0.6952895894428152,0.07896715719341621,0.03531518629487803
l1,1.0,10.0,0.6979380498533725,0.08303130080730464,0.03713272657307327
