AUC,AP,LogLoss,ECE,Brier,ACC,Precision,Recall,F1,Specificity,TN,FP,FN,TP,Threshold,Spec_at_Recall95,FPR_at_Recall95,Thr_at_Recall95,Fold,BestThr_ACC,BestThr_Precision,BestThr_Recall,BestThr_F1,BestThr_Specificity,BestThr_TN,BestThr_FP,BestThr_FN,BestThr_TP,BestThr_Threshold
0.7798295454545454,0.6722079894384677,0.5946898742912811,0.155010308894043,0.19801688583056223,0.7592592592592593,0.7368421052631579,0.6363636363636364,0.6829268292682927,0.84375,27,5,8,14,0.5,0.5,0.5,0.334288449348477,1,0.7037037037037037,0.6071428571428571,0.7727272727272727,0.68,0.65625,21,11,5,17,0.4
0.6935483870967741,0.6453222747912963,0.6204470231988429,0.126445151008012,0.21764836831506512,0.6415094339622641,0.5714285714285714,0.5454545454545454,0.5581395348837209,0.7096774193548387,22,9,10,12,0.5,0.22580645161290325,0.7741935483870968,0.16752305665639353,2,0.5849056603773585,0.5,0.7272727272727273,0.5925925925925926,0.4838709677419355,15,16,6,16,0.4
0.7727272727272727,0.63721260990277,0.5821401279158782,0.22409361282426796,0.19879678593639988,0.6981132075471698,0.65,0.5909090909090909,0.6190476190476191,0.7741935483870968,24,7,9,13,0.5,0.6451612903225806,0.3548387096774194,0.42616043778619067,3,0.7547169811320755,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.6129032258064516,19,12,1,21,0.4
0.7609970674486803,0.6801615259782663,0.5763236427318065,0.149992549714197,0.19719935901841565,0.6226415094339622,0.5625,0.4090909090909091,0.47368421052631576,0.7741935483870968,24,7,13,9,0.5,0.5483870967741935,0.45161290322580644,0.36175170663766726,4,0.6981132075471698,0.6,0.8181818181818182,0.6923076923076923,0.6129032258064516,19,12,4,18,0.4
0.7551319648093842,0.690863254151206,0.5698210559665451,0.09223820455632706,0.19419906078465338,0.6981132075471698,0.6875,0.5,0.5789473684210527,0.8387096774193549,26,5,11,11,0.5,0.29032258064516125,0.7096774193548387,0.20445566621199665,5,0.7358490566037735,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7741935483870968,24,7,7,15,0.4
