feature,abs_coef
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Range,0.08751321769039504
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.045263033954116454
parotid__sym__absdiff__ct__original_ngtdm_Busyness,0.2818797999408754
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Range,0.3053242269334882
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,0.2739592410953069
submand__sym__mean__ct__original_glszm_ZoneEntropy,0.02003567568192201
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.11256055152765632
parotid__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.2026589580126879
parotid__sym__min__ct__wavelet-LHH_firstorder_Median,0.17357468267071155
submand__sym__absdiff__ct__wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.1875981630769195
parotid_R__ct__wavelet-LLH_glrlm_RunVariance,0.1779899262208834
submand__sym__max__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,0.16052884015874605
submand_R__ct__wavelet-HLH_glszm_GrayLevelNonUniformity,0.03252588440497915
parotid__sym__absdiff__ct__wavelet-LHH_firstorder_Skewness,0.01040534313350592
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Entropy,0.2352645678373539
parotid_L__ct__log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.1601421971890692
submand__sym__absdiff__ct__wavelet-LLL_glrlm_GrayLevelNonUniformity,0.005466836776026236
submand__sym__absdiff__ct__wavelet-HHL_ngtdm_Busyness,0.2420529272396842
submand__sym__absdiff__ct__wavelet-LHL_gldm_DependenceEntropy,0.34804268988798287
submand_L__ct__wavelet-LHH_glcm_ClusterTendency,0.26429444476262615
submand__sym__min__ct__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.12083028682433292
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceEntropy,0.1905041012370492
submand__sym__absdiff__ct__wavelet-LLH_firstorder_Mean,0.13362355296245837
submand_L__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.15949874369392333
submand_L__ct__wavelet-HHH_firstorder_Median,0.09277987941072888
parotid__sym__absdiff__ct__wavelet-HHH_glcm_SumEntropy,0.039247672694618214
parotid__sym__max__ct__log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.07501487842525781
submand__sym__max__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.013384436822656842
submand__sym__max__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.5240816954778195
parotid_R__ct__wavelet-LHH_glcm_MaximumProbability,0.33823858667613016
parotid__sym__min__ct__wavelet-HLH_glszm_ZoneEntropy,0.05888933914695528
submand__sym__absdiff__ct__original_gldm_GrayLevelNonUniformity,0.2398145107995471
parotid__sym__absdiff__ct__wavelet-HHL_firstorder_Skewness,0.3674536252820081
submand_R__ct__log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.04489484804451937
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Minimum,0.15956149268242467
submand_L__ct__wavelet-HLL_glrlm_ShortRunEmphasis,0.04945242241080937
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,0.050238361782130515
submand_L__ct__wavelet-HHH_glcm_Autocorrelation,0.12165964010240704
submand__sym__reldiff__ct__original_ngtdm_Strength,0.016337862376572046
submand_L__ct__wavelet-HHH_glcm_ClusterShade,0.023733777520652196
submand_L__ct__wavelet-HHH_glcm_JointAverage,0.05917990764742283
submand_L__ct__wavelet-HHH_glcm_SumAverage,0.039408418301674214
submand__sym__max__ct__wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.12013668379258205
submand__sym__absdiff__ct__wavelet-LHL_glszm_ZonePercentage,0.34429328197000303
parotid_L__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.3547041021827534
submand__sym__reldiff__ct__original_glszm_GrayLevelVariance,0.1821791161253705
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.011700166522604175
parotid_R__ct__log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.02064581347862838
parotid_L__ct__wavelet-HHH_glszm_SizeZoneNonUniformity,0.2957429498372888
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.13188059493568124
submand_R__ct__wavelet-LHH_glcm_InverseVariance,0.026164491088057035
submand__sym__min__ct__wavelet-HLH_gldm_DependenceVariance,0.10513616645635145
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.17732629495617952
submand__sym__absdiff__ct__wavelet-HLL_firstorder_90Percentile,0.08736146122968146
parotid__sym__diff__ct__original_shape_LeastAxisLength,0.011673487928882896
parotid_L__ct__original_gldm_DependenceVariance,0.43255248866138585
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.14763745840301304
parotid__sym__min__ct__wavelet-LHL_firstorder_Energy,0.10344338059654738
parotid__sym__min__ct__wavelet-LHL_firstorder_TotalEnergy,4.572792431838669e-05
parotid__sym__min__ct__wavelet-LLL_gldm_DependenceNonUniformity,0.026784939850491445
submand_L__ct__wavelet-HHH_firstorder_90Percentile,0.19054143283509065
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_firstorder_90Percentile,0.0062265171154739785
submand_R__ct__wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.09871736450220235
submand__sym__mean__ct__wavelet-LLH_glcm_SumEntropy,0.10760701070527028
submand_R__ct__log-sigma-1-0-mm-3D_ngtdm_Contrast,0.1534439116722337
parotid__sym__min__ct__wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.10061494311763941
submand__sym__max__ct__log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.05105653694411377
submand__sym__absdiff__ct__wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.13480618494772637
submand__sym__min__ct__wavelet-HHH_firstorder_Median,0.0386164774793544
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glcm_Contrast,0.26731360902736967
submand__sym__absdiff__ct__wavelet-LLL_glszm_ZonePercentage,0.002717788996100908
