penalty,l1_ratio,C,mean_auc,std_auc,se_auc
l1,1.0,0.01,0.5,0.0,0.0
l1,1.0,0.03,0.5,0.0,0.0
l1,1.0,0.1,0.6244118605408928,0.06046486182078138,0.027040708256279775
l1,1.0,0.3,0.7289289205418238,0.049552951158218,0.022160753455100476
l1,1.0,1.0,0.7192128659870596,0.06606625873699287,0.02954572911100109
l1,1.0,3.0,0.7113108038914492,0.06977729780473807,0.031205356235528232
l1,1.0,10.0,0.7157012521528652,0.058062532926277506,0.025966354113795255
