feature,abs_coef
parotid__sym__min__ct__wavelet-HLH_glszm_ZoneEntropy,0.2317038558463824
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,0.10409597955903101
submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_firstorder_90Percentile,0.053186195675938235
parotid_R__ct__wavelet-LHH_firstorder_Median,0.004624977612129292
parotid__sym__max__ct__wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.2838042287313878
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.25690600158022975
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.23222375868777032
parotid__sym__min__ct__wavelet-LHH_firstorder_Median,0.1931781826170075
submand__sym__reldiff__ct__original_glszm_SmallAreaHighGrayLevelEmphasis,0.06763168410391776
submand_L__ct__wavelet-HLH_glrlm_RunVariance,0.0387038998300102
submand__sym__absdiff__ct__log-sigma-3-0-mm-3D_firstorder_Range,0.08253397927021751
submand__sym__min__ct__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.1501464328820176
submand_R__ct__log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.5770387754661837
submand_R__ct__original_ngtdm_Busyness,0.08941616435473435
parotid_L__ct__wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.043343772528592256
parotid__sym__absdiff__ct__wavelet-HLH_firstorder_Mean,0.1402349719409037
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.26851871583716413
submand__sym__max__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,0.2557073557822654
submand__sym__min__ct__wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.04069150075148867
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.11759312269057727
parotid__sym__max__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.10561890739536073
submand__sym__mean__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,0.017156285238744552
parotid__sym__absdiff__ct__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.19327532857267612
parotid__sym__absdiff__ct__wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.060952935509592826
submand_R__ct__wavelet-LHH_glszm_ZoneEntropy,0.13373384684059544
parotid_R__ct__wavelet-HHL_glcm_MaximumProbability,0.20375011935210097
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.17942513680366962
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Entropy,0.06470771302055034
submand__sym__max__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.04132959231978354
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.16357810567185735
parotid__sym__absdiff__ct__wavelet-LLL_gldm_DependenceNonUniformity,0.059648717800028506
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.046912557773353784
parotid__sym__absdiff__ct__wavelet-LLL_glszm_ZonePercentage,0.23727853295765014
parotid__sym__absdiff__ct__wavelet-LLL_ngtdm_Coarseness,0.053653442325522306
submand_R__ct__wavelet-LLH_glcm_JointEnergy,0.05292081401198505
submand__sym__min__ct__original_glszm_SmallAreaEmphasis,0.01214646766230074
parotid_R__ct__wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.010955036673958932
parotid__sym__min__ct__wavelet-HLH_glcm_MaximumProbability,0.08552535465984734
submand_L__ct__log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.006688414602997047
parotid_R__ct__wavelet-HLL_glcm_Imc1,0.13622094739788193
parotid__sym__min__ct__wavelet-HHH_firstorder_Variance,0.19787647987101628
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_ZoneEntropy,0.011499826284826148
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glcm_Contrast,0.31278965961913463
parotid__sym__absratio__ct__original_firstorder_90Percentile,0.12960750155861678
parotid_R__ct__wavelet-HHH_glrlm_ShortRunEmphasis,0.09457717879230935
submand_R__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.1795428194509436
parotid__sym__mean__ct__wavelet-LLH_glcm_InverseVariance,0.21165805459159395
submand__sym__absdiff__ct__wavelet-LHL_gldm_DependenceEntropy,0.03185107472743797
parotid__sym__min__ct__wavelet-LHH_firstorder_Maximum,0.01012671738056745
