penalty,l1_ratio,C,mean_auc,std_auc,se_auc
l1,1.0,0.01,0.5,0.0,0.0
l1,1.0,0.03,0.5,0.0,0.0
l1,1.0,0.1,0.6500353768095702,0.03283054369085138,0.014682265486204105
l1,1.0,0.3,0.7585569985569987,0.057009902610791044,0.0254956035256743
l1,1.0,1.0,0.7402653260717778,0.05216395996370993,0.023328432090886572
l1,1.0,3.0,0.7254950425918167,0.052857504761951175,0.023638594753748333
l1,1.0,10.0,0.7227365824140017,0.052761612248086266,0.023595710317841277
