penalty,l1_ratio,C,mean_auc,std_auc,se_auc
l1,1.0,0.01,0.5,0.0,0.0
l1,1.0,0.03,0.5,0.0,0.0
l1,1.0,0.1,0.6619550342130986,0.05370454842788349,0.024017404197135387
l1,1.0,0.3,0.758451333612624,0.07979559037052855,0.03568567287464589
l1,1.0,1.0,0.7492752408881441,0.08877632372763986,0.03970197892950605
l1,1.0,3.0,0.7397737746124843,0.09292936979106817,0.04155927759180877
l1,1.0,10.0,0.7406088535120793,0.09243191523894659,0.041336809152956656
