feature,abs_coef
submand__sym__absdiff__dose__wavelet-HLH_glszm_SizeZoneNonUniformity,0.0030778884160886045
submand__sym__absdiff__dose__wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.10583563936508819
submand_R__dose__wavelet-LHL_glcm_Imc2,0.16897235251545398
submand_R__dose__wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.0665791997394655
submand__sym__absratio__dose__original_firstorder_Median,0.034209123392757154
parotid__sym__absdiff__dose__wavelet-HHH_glrlm_ShortRunEmphasis,0.2636394158187419
submand__sym__absdiff__dose__wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.04931968317698694
submand__sym__absdiff__dose__wavelet-HHH_glcm_Imc2,0.13703518571654588
parotid_L__dose__log-sigma-1-0-mm-3D_firstorder_Mean,0.05704599288357413
parotid__sym__min__dose__wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.028949216798052225
submand__sym__min__dose__log-sigma-3-0-mm-3D_glcm_DifferenceVariance,0.16240957361331707
submand__sym__reldiff__dose__original_glszm_LowGrayLevelZoneEmphasis,0.30711344272781693
parotid_R__dose__original_gldm_LargeDependenceHighGrayLevelEmphasis,0.05753073329737037
parotid__sym__max__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.1464466075164206
submand__sym__min__dose__wavelet-LHL_firstorder_Maximum,0.6590694495308277
parotid_L__dose__original_glszm_SmallAreaLowGrayLevelEmphasis,0.130987520470792
submand__sym__max__dose__original_shape_Sphericity,0.10593552316310562
parotid__sym__absdiff__dose__wavelet-LLL_glcm_Correlation,0.10498323260717321
submand__sym__absdiff__dose__wavelet-HHL_firstorder_Mean,0.40929400516536435
submand__sym__min__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.007729764592065573
