feature,abs_coef
parotid__sym__reldiff__dose__original_glcm_DifferenceAverage,0.22410129598428244
parotid__sym__absdiff__dose__wavelet-HHL_firstorder_Mean,0.42443470289524937
submand_L__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.2802813695052558
submand_L__dose__wavelet-HHH_glszm_GrayLevelVariance,0.005247016600298427
parotid__sym__reldiff__dose__original_glrlm_LowGrayLevelRunEmphasis,0.024414622991241416
parotid__sym__reldiff__dose__original_glcm_JointEntropy,0.010439081617430455
parotid__sym__reldiff__dose__original_glcm_Id,0.031101015342235003
parotid__sym__reldiff__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,0.16765264825527743
submand__sym__absdiff__dose__wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.2992646663133369
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_MCC,0.2902191899153277
submand__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.3231112359313706
submand__sym__max__dose__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.17616972992751753
parotid__sym__reldiff__dose__original_gldm_DependenceNonUniformity,0.12654845738037207
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_ngtdm_Contrast,0.3108889543910223
submand__sym__max__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.1162304789700693
parotid__sym__absdiff__dose__wavelet-LHH_glcm_SumEntropy,0.03611790554259931
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glcm_MCC,0.06568202254007821
submand__sym__mean__dose__wavelet-HHH_firstorder_Skewness,0.04062407938378739
submand__sym__absdiff__dose__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.07913008440099736
submand__sym__absratio__dose__original_firstorder_Kurtosis,0.343826007493435
submand__sym__min__dose__wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.12366252356786331
submand__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Imc1,0.14977190450876157
submand__sym__absdiff__dose__wavelet-LHH_firstorder_90Percentile,0.16959658318476822
parotid__sym__absdiff__dose__wavelet-HHH_glszm_ZoneVariance,0.01149443234149205
submand__sym__max__dose__original_shape_Maximum2DDiameterSlice,0.032766639005494536
parotid__sym__absdiff__dose__wavelet-LLL_glcm_Correlation,0.003736259380568033
parotid__sym__absdiff__dose__wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.319678376459893
parotid__sym__absdiff__dose__original_glrlm_GrayLevelNonUniformityNormalized,0.037608925919991064
parotid__sym__absdiff__dose__wavelet-HLL_glrlm_LongRunEmphasis,0.06739995714172206
parotid_R__dose__wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.15963490748762332
parotid__sym__reldiff__dose__original_gldm_LargeDependenceLowGrayLevelEmphasis,5.938641673852691e-05
submand__sym__mean__dose__wavelet-HHH_glszm_ZoneVariance,0.2903583818030797
submand__sym__absdiff__dose__wavelet-LLL_glszm_GrayLevelNonUniformity,0.12031797623191283
submand__sym__min__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.2647982728025029
submand_L__dose__wavelet-LLH_firstorder_Skewness,0.20732417191893435
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.09341469998110828
submand__sym__max__dose__original_shape_Sphericity,0.13737565707553762
submand__sym__absdiff__dose__wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.07818486561389268
submand_L__dose__wavelet-HLL_ngtdm_Coarseness,0.0883774782352668
submand__sym__absdiff__dose__original_shape_Maximum2DDiameterSlice,0.05886428663618925
parotid__sym__min__dose__wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.3322615544361424
submand_R__dose__wavelet-HLH_ngtdm_Busyness,0.19292838427761774
submand__sym__min__dose__wavelet-HLH_glszm_GrayLevelVariance,0.3035784388280394
submand__sym__absratio__dose__original_shape_MajorAxisLength,0.4615623978985198
submand__sym__absdiff__dose__wavelet-LLL_ngtdm_Coarseness,0.010085123074028231
submand__sym__absratio__dose__original_glszm_LargeAreaHighGrayLevelEmphasis,0.12024357541379638
parotid_L__dose__wavelet-LLH_firstorder_Energy,0.15536737436333836
parotid_L__dose__wavelet-LLH_firstorder_TotalEnergy,0.14977063286551703
parotid__sym__absdiff__dose__wavelet-HHL_gldm_DependenceEntropy,0.3737017719179508
submand_R__dose__wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.005548938486044845
parotid__sym__absdiff__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.3578594707567252
submand__sym__min__dose__log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0915536172806161
parotid_R__dose__original_firstorder_Range,0.14136896413481442
parotid__sym__reldiff__dose__original_gldm_DependenceVariance,0.0827670415964248
parotid__sym__absdiff__dose__wavelet-HHH_glcm_JointEnergy,0.24617062921425786
parotid_L__dose__original_firstorder_Median,0.12035629172780779
parotid_R__dose__wavelet-LHL_ngtdm_Coarseness,0.034829843445957284
parotid__sym__absdiff__dose__log-sigma-1-0-mm-3D_glcm_Imc2,0.147368624829675
parotid__sym__absdiff__dose__original_glszm_LargeAreaLowGrayLevelEmphasis,0.08563754170367753
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.1446594613737417
submand__sym__max__dose__wavelet-LHL_glcm_Correlation,0.20782802671678458
parotid__sym__min__dose__original_firstorder_Range,0.134719572043004
parotid__sym__min__dose__wavelet-HHL_glcm_SumSquares,0.10843676497303477
submand__sym__min__dose__wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.47410804963474845
parotid__sym__absdiff__dose__wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.1999479923692399
parotid_L__dose__original_firstorder_Kurtosis,0.04363499389859395
submand__sym__absdiff__dose__wavelet-HLH_gldm_DependenceNonUniformity,0.14933910142747825
submand__sym__reldiff__dose__original_firstorder_Skewness,0.12252083760552959
submand_L__dose__wavelet-LLH_firstorder_Maximum,0.06612587584483455
parotid__sym__absdiff__dose__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.4329216130634127
submand__sym__min__dose__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.13059951576451367
parotid__sym__max__dose__wavelet-LHH_firstorder_Uniformity,0.1419722690004576
submand__sym__min__dose__wavelet-HLL_glcm_Correlation,0.04969941515069387
parotid_L__dose__wavelet-LHL_glrlm_GrayLevelVariance,0.11030565333535475
submand__sym__absdiff__dose__wavelet-HHL_firstorder_Mean,0.20121932758699987
submand__sym__min__dose__wavelet-LLH_glcm_Idmn,0.18711799052311812
parotid__sym__absdiff__dose__wavelet-LHL_firstorder_Kurtosis,0.18396307294289369
parotid__sym__min__dose__original_glszm_SizeZoneNonUniformity,0.16715841832557837
parotid_L__dose__log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0591488175321976
parotid__sym__min__dose__wavelet-HLH_glcm_ClusterShade,0.07266150233440834
submand__sym__absdiff__dose__log-sigma-1-0-mm-3D_ngtdm_Contrast,0.12179974146294413
parotid_L__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.12292507389308481
parotid__sym__max__dose__wavelet-LLL_firstorder_10Percentile,0.05822673120338046
submand__sym__min__dose__wavelet-LLH_ngtdm_Strength,0.042891238225051934
submand__sym__max__dose__original_glcm_MCC,0.09497963326280101
parotid__sym__min__dose__wavelet-LLH_firstorder_Median,0.03089939610132489
submand__sym__max__dose__wavelet-LLL_glszm_ZoneEntropy,0.022029266152151374
submand__sym__min__dose__log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.11482056006573367
parotid_L__dose__wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.1918893498140635
