feature,count,freq
submand__sym__min__dose__wavelet-LLH_glcm_Idmn,2,0.4
submand__sym__min__dose__wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,2,0.4
submand__sym__reldiff__dose__original_shape_Maximum2DDiameterSlice,2,0.4
parotid_L__dose__log-sigma-1-0-mm-3D_firstorder_Mean,1,0.2
parotid_L__dose__original_firstorder_Median,1,0.2
parotid_L__dose__original_firstorder_Minimum,1,0.2
parotid_L__dose__original_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
parotid_L__dose__original_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
parotid_L__dose__wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,1,0.2
parotid_L__dose__wavelet-HHH_glszm_LargeAreaEmphasis,1,0.2
parotid_L__dose__wavelet-HHL_firstorder_Kurtosis,1,0.2
parotid_L__dose__wavelet-HHL_glcm_MaximumProbability,1,0.2
parotid_L__dose__wavelet-HHL_glszm_GrayLevelNonUniformity,1,0.2
parotid_L__dose__wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
parotid_L__dose__wavelet-HLL_glszm_GrayLevelVariance,1,0.2
parotid_L__dose__wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
parotid_L__dose__wavelet-LHL_glrlm_GrayLevelNonUniformity,1,0.2
parotid_L__dose__wavelet-LHL_glrlm_GrayLevelVariance,1,0.2
parotid_L__dose__wavelet-LHL_glszm_LargeAreaEmphasis,1,0.2
parotid_L__dose__wavelet-LLH_firstorder_Energy,1,0.2
parotid_L__dose__wavelet-LLH_firstorder_TotalEnergy,1,0.2
parotid_R__dose__log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
parotid_R__dose__original_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
parotid_R__dose__original_glszm_GrayLevelNonUniformityNormalized,1,0.2
parotid_R__dose__original_glszm_LowGrayLevelZoneEmphasis,1,0.2
parotid_R__dose__original_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
parotid_R__dose__wavelet-HHH_glcm_ClusterShade,1,0.2
parotid_R__dose__wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
parotid_R__dose__wavelet-HHH_gldm_LowGrayLevelEmphasis,1,0.2
parotid_R__dose__wavelet-HHH_gldm_SmallDependenceEmphasis,1,0.2
parotid_R__dose__wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.2
